일자,시가,고가,저가,종가,거래량,등락률,기관 합계,기타법인,개인,외국인 합계,전체,공매도,공매도비중,공매도잔고,공매도잔고비중
2026-01-02,423500,440000,423000,439000,124193,4.275534441805226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,428000,429500,416500,421000,89663,-2.320185614849188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,397000,432500,397000,431000,209557,8.291457286432161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,412500,418500,395500,398000,88491,-3.864734299516908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,419500,421500,411500,414000,86936,-0.7194244604316548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,420000,422000,413000,417000,79028,-0.23923444976076555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,425000,427000,413000,418000,112073,0.4807692307692308,11310.0,-22.0,5364.0,-16652.0,0.0,12705.0,8.760000228881836,6080.0,0.0299999993294477
2025-12-19,389500,418000,384000,416000,369833,8.616187989556137,74361.0,-2553.0,-98896.0,27088.0,0.0,16861.0,3.680000066757202,6080.0,0.0299999993294477
2025-12-18,380000,394500,374000,383000,70184,-0.5194805194805194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,379000,390000,373000,385000,75805,1.9867549668874167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,392000,392000,374500,377500,76713,-2.454780361757106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,382500,400000,378000,387000,165133,1.0443864229765014,15932.0,400.0,-17589.0,1257.0,0.0,4615.0,2.220000028610229,9630.0,0.0399999991059303
2025-12-12,377500,385500,374500,383000,156667,2.8187919463087248,-13701.0,-519.0,1382.0,12838.0,0.0,13524.0,7.059999942779541,11700.0,0.050000000745058
2025-12-11,386000,388000,372000,372500,153312,-2.6143790849673203,-44792.0,703.0,27908.0,16181.0,0.0,6741.0,3.680000066757202,11167.0,0.050000000745058
2025-12-10,390000,390500,381000,382500,66675,-1.5444015444015444,5091.0,807.0,629.0,-6527.0,0.0,5054.0,5.869999885559082,10412.0,0.050000000745058
2025-12-09,391000,398500,385500,388500,89341,0.3875968992248062,8253.0,-1258.0,10960.0,-17955.0,0.0,8906.0,7.340000152587891,10272.0,0.050000000745058
2025-12-08,377500,390000,376000,387000,126583,3.8926174496644297,13923.0,1472.0,-8119.0,-7276.0,0.0,10694.0,6.179999828338623,10217.0,0.050000000745058
2025-12-05,367000,374500,364500,372500,116532,1.2228260869565215,1936.0,54.0,-1133.0,-857.0,0.0,8135.0,5.730000019073486,11781.0,0.050000000745058
2025-12-04,379000,380000,365000,368000,74145,-1.7356475300400531,-4134.0,719.0,19915.0,-16500.0,0.0,3374.0,3.4600000381469727,11677.0,0.050000000745058
2025-12-03,370000,377500,368000,374500,73923,2.7434842249657065,3473.0,84.0,-5687.0,2130.0,0.0,7027.0,6.869999885559082,11560.0,0.050000000745058
2025-12-02,363500,368500,360000,364500,129063,-0.9510869565217392,-12564.0,-1669.0,3022.0,11211.0,0.0,10734.0,6.800000190734863,11224.0,0.050000000745058
2025-12-01,379500,380000,364000,368000,156239,-3.91644908616188,-47312.0,-2028.0,6053.0,43287.0,0.0,9245.0,4.539999961853027,11468.0,0.050000000745058
2025-11-28,392000,393000,379500,383000,89054,-1.668806161745828,-19456.0,71.0,14512.0,4873.0,0.0,3862.0,3.470000028610229,14472.0,0.0700000002980232
2025-11-27,394000,396000,387500,389500,49669,-0.6377551020408163,-4233.0,540.0,4567.0,-874.0,0.0,4651.0,6.610000133514404,13591.0,0.0599999986588954
2025-11-26,389000,393500,383000,392000,76672,1.950585175552666,16605.0,-490.0,-12457.0,-3658.0,0.0,6923.0,7.190000057220459,14188.0,0.0599999986588954
2025-11-25,397500,399000,383000,384500,127289,-2.411167512690356,-15517.0,-2143.0,8751.0,8909.0,0.0,17174.0,10.380000114440918,10534.0,0.050000000745058
2025-11-24,402500,405000,372000,394000,233989,-1.9900497512437807,824.0,-2132.0,-34982.0,36290.0,0.0,10673.0,3.509999990463257,14288.0,0.0599999986588954
2025-11-21,403000,409500,396500,402000,106470,-3.481392557022809,-447.0,-294.0,10742.0,-10001.0,0.0,10458.0,7.78000020980835,9157.0,0.0399999991059303
2025-11-20,406500,427500,406500,416500,151825,2.4600246002460024,7335.0,-551.0,-40227.0,33443.0,0.0,6066.0,3.059999942779541,12157.0,0.0599999986588954
2025-11-19,409000,412000,390500,406500,156113,1.49812734082397,-12399.0,-1264.0,-5547.0,19210.0,0.0,5089.0,2.470000028610229,11877.0,0.050000000745058
2025-11-18,429500,433500,400500,400500,192497,-5.764705882352941,-6825.0,-2188.0,62046.0,-53033.0,0.0,14023.0,5.449999809265137,11640.0,0.050000000745058
2025-11-17,417000,427000,408000,425000,178079,4.166666666666666,37405.0,-3166.0,-47213.0,12974.0,0.0,8277.0,3.309999942779541,11844.0,0.050000000745058
2025-11-14,401500,420000,400000,408000,133902,-0.1223990208078335,10492.0,898.0,-16920.0,5530.0,0.0,3841.0,1.9800000190734863,12477.0,0.0599999986588954
2025-11-13,404000,413000,401000,408500,116448,1.2391573729863694,-18652.0,706.0,-5896.0,23842.0,0.0,5107.0,3.400000095367432,20607.0,0.0900000035762786
2025-11-12,411000,415500,399000,403500,156563,-1.3447432762836184,-38222.0,48.0,17842.0,20332.0,0.0,3670.0,1.7000000476837158,20718.0,0.0900000035762786
2025-11-11,418500,429000,406000,409000,174699,-2.15311004784689,-10545.0,-73.0,-29351.0,39969.0,0.0,12217.0,4.699999809265137,22075.0,0.1000000014901161
2025-11-10,404500,419000,399000,418000,217011,4.10958904109589,2353.0,-878.0,-34954.0,33479.0,0.0,9193.0,2.8399999141693115,20000.0,0.0900000035762786
2025-11-07,451000,452000,395000,401500,776332,-16.528066528066528,-208917.0,1003.0,367436.0,-159522.0,0.0,57960.0,5.590000152587891,20270.0,0.0900000035762786
2025-11-06,491500,498500,469500,481000,153086,0.8385744234800839,13916.0,627.0,-961.0,-13582.0,0.0,6824.0,3.3499999046325684,18831.0,0.0900000035762786
2025-11-05,509000,511000,462000,477000,276461,-8.795411089866157,-16561.0,1400.0,34096.0,-18935.0,0.0,9110.0,2.380000114440918,16079.0,0.0700000002980232
2025-11-04,528000,537000,522000,523000,122315,-1.876172607879925,10502.0,152.0,-24824.0,14170.0,0.0,4146.0,2.470000028610229,9759.0,0.0399999991059303
2025-11-03,517000,534000,517000,533000,155397,2.697495183044316,27333.0,587.0,-17785.0,-10135.0,0.0,5248.0,2.470000028610229,6335.0,0.0299999993294477
2025-10-31,515000,534000,511000,519000,131306,1.1695906432748535,25467.0,1843.0,-26021.0,-1289.0,0.0,3292.0,1.649999976158142,6335.0,0.0299999993294477
2025-10-30,514000,523000,508000,513000,153137,0.3913894324853229,4380.0,368.0,-28688.0,23940.0,0.0,11941.0,5.440000057220459,6335.0,0.0299999993294477
2025-10-29,506000,519000,504000,511000,135637,1.3888888888888888,25388.0,-269.0,-34767.0,9648.0,0.0,5427.0,2.8299999237060547,13910.0,0.0599999986588954
2025-10-28,507000,510000,494500,504000,144858,-0.591715976331361,38349.0,1104.0,-9972.0,-29481.0,0.0,8621.0,4.360000133514404,10403.0,0.050000000745058
2025-10-27,488000,515000,484500,507000,211349,4.536082474226804,32726.0,771.0,-16110.0,-17387.0,0.0,7741.0,2.430000066757202,10660.0,0.050000000745058
2025-10-24,466500,494000,449500,485000,352684,5.320304017372422,112273.0,-543.0,-54256.0,-57474.0,0.0,5766.0,1.149999976158142,6335.0,0.0299999993294477
2025-10-23,463000,474000,448500,460500,336580,2.333333333333333,18164.0,1712.0,29394.0,-49270.0,0.0,28263.0,6.230000019073486,7265.0,0.0299999993294477
2025-10-22,447500,452000,434500,450000,156249,1.4656144306651635,-10040.0,778.0,20672.0,-11410.0,0.0,17956.0,8.640000343322754,16277.0,0.0700000002980232
2025-10-21,448500,449000,440000,443500,104500,0.0,-2007.0,-181.0,19794.0,-17606.0,0.0,5119.0,3.5799999237060547,16219.0,0.0700000002980232
2025-10-20,440000,447000,440000,443500,118494,2.306805074971165,-9819.0,683.0,8176.0,960.0,0.0,4917.0,3.289999961853028,16219.0,0.0700000002980232
2025-10-17,439500,443500,430500,433500,155377,-2.584269662921348,-22160.0,-186.0,-17207.0,39553.0,0.0,8818.0,4.400000095367432,21851.0,0.1000000014901161
2025-10-16,452500,458000,438000,445000,168633,-2.62582056892779,-9574.0,1955.0,23203.0,-15584.0,0.0,16615.0,7.369999885559082,42180.0,0.1899999976158142
2025-10-15,454500,459000,450000,457000,99131,2.237136465324385,5275.0,187.0,-12823.0,7361.0,0.0,7464.0,6.03000020980835,30715.0,0.1400000005960464
2025-10-14,461000,467000,443500,447000,204635,-3.870967741935484,-14681.0,5288.0,13610.0,-4217.0,0.0,10258.0,3.7200000286102295,30761.0,0.1400000005960464
2025-10-13,475500,476250,460500,465000,153167,-3.125,-4002.0,-3033.0,32303.0,-25268.0,0.0,12384.0,5.849999904632568,48268.0,0.2199999988079071
2025-10-10,496000,498000,469000,480000,254265,-4.950495049504951,-23255.0,-6481.0,97072.0,-67336.0,0.0,20916.0,6.059999942779541,45674.0,0.209999993443489
2025-10-02,509000,514000,497500,505000,151441,-0.3944773175542406,13854.0,1232.0,3447.0,-18533.0,0.0,11356.0,6.03000020980835,42621.0,0.1899999976158142
2025-10-01,517000,522000,503000,507000,104099,-1.1695906432748535,3993.0,-3517.0,11439.0,-11915.0,0.0,5895.0,4.230000019073486,40981.0,0.1899999976158142
2025-09-30,514000,527000,510000,513000,149566,1.183431952662722,41440.0,874.0,-13329.0,-28985.0,0.0,8844.0,4.510000228881836,45323.0,0.209999993443489
2025-09-29,501000,527000,495500,507000,148832,3.2586558044806515,23130.0,4408.0,-38142.0,10604.0,0.0,6724.0,3.119999885559082,42390.0,0.1899999976158142
2025-09-26,498000,511000,486000,491000,155669,-0.6072874493927125,4161.0,-105.0,-1946.0,-2110.0,0.0,5571.0,2.640000104904175,41609.0,0.1899999976158142
2025-09-25,500000,515000,494000,494000,135206,-0.4032258064516129,-3393.0,-124.0,-4269.0,7786.0,0.0,11308.0,6.079999923706055,43431.0,0.2000000029802322
2025-09-24,499000,503000,491500,496000,104472,0.5065856129685917,-1676.0,2797.0,11733.0,-12854.0,0.0,8435.0,5.869999885559082,54284.0,0.25
2025-09-23,500000,507000,492500,493500,78555,-0.5040322580645161,-2330.0,786.0,17035.0,-15491.0,0.0,7403.0,6.380000114440918,71991.0,0.3300000131130218
2025-09-22,520000,520000,490000,496000,204438,-3.313840155945419,-10991.0,1496.0,98073.0,-88578.0,0.0,37171.0,13.3100004196167,73616.0,0.3300000131130218
2025-09-19,512000,520000,508000,513000,262876,0.7858546168958742,-3683.0,-82.0,5179.0,-1414.0,0.0,9133.0,3.130000114440918,56999.0,0.2599999904632568
2025-09-18,524000,525000,501000,509000,117810,-1.5473887814313347,7035.0,1596.0,20476.0,-29107.0,0.0,693.0,0.4199999868869781,54072.0,0.25
2025-09-17,535000,535000,516000,517000,133524,-4.612546125461255,-11682.0,2219.0,33047.0,-23584.0,0.0,10838.0,5.96999979019165,52926.0,0.2399999946355819
2025-09-16,499500,544000,499000,542000,316829,9.494949494949497,38130.0,-3040.0,-97698.0,62608.0,0.0,18700.0,4.039999961853027,48376.0,0.2199999988079071
2025-09-15,505000,512000,493500,495000,134173,-1.7857142857142856,-13552.0,534.0,27662.0,-14644.0,0.0,15396.0,9.050000190734863,50206.0,0.2300000041723251
2025-09-12,507000,507000,498500,504000,105933,0.198807157057654,2486.0,141.0,-4947.0,2320.0,0.0,2192.0,1.590000033378601,40989.0,0.1899999976158142
2025-09-11,501000,511000,495500,503000,206149,1.2072434607645874,48135.0,-765.0,-9605.0,-37765.0,0.0,9486.0,3.4600000381469727,37085.0,0.1700000017881393
2025-09-10,476000,501000,474000,497000,242701,4.963041182682154,7981.0,2516.0,-13937.0,3440.0,0.0,2459.0,0.7699999809265137,59698.0,0.270000010728836
2025-09-09,484500,485000,470500,473500,144894,-1.5592515592515594,-9015.0,2126.0,35187.0,-28298.0,0.0,3206.0,1.7400000095367432,69849.0,0.3199999928474426
2025-09-08,478500,481500,473500,481000,110348,1.050420168067227,-10846.0,1274.0,5329.0,4243.0,0.0,5263.0,4.050000190734863,71017.0,0.3199999928474426
2025-09-05,491000,494000,475500,476000,199430,-3.643724696356275,-23727.0,1311.0,74678.0,-52262.0,0.0,24558.0,9.59000015258789,73339.0,0.3300000131130218
2025-09-04,497500,502000,491000,494000,96581,-1.2,-2930.0,486.0,30634.0,-28190.0,0.0,15990.0,13.920000076293944,59909.0,0.270000010728836
2025-09-03,505000,507000,495500,500000,82184,-0.398406374501992,2774.0,435.0,13644.0,-16853.0,0.0,9930.0,9.539999961853027,53995.0,0.25
2025-09-02,496500,509000,492000,502000,107849,1.8255578093306288,9947.0,-132.0,-20514.0,10699.0,0.0,10283.0,7.170000076293945,58869.0,0.270000010728836
2025-09-01,496000,503000,490500,493000,83486,0.7150153217568949,-4679.0,465.0,-2776.0,6990.0,0.0,18772.0,16.81999969482422,66791.0,0.3000000119209289
2025-08-29,500000,501000,487000,489500,99075,-1.5090543259557343,-6757.0,446.0,13308.0,-6997.0,0.0,30912.0,25.11000061035156,67818.0,0.3100000023841858
2025-08-28,495000,505000,493000,497000,121482,0.5055611729019212,9434.0,-28.0,-3737.0,-5669.0,0.0,30045.0,18.950000762939453,56362.0,0.2599999904632568
2025-08-27,521000,522000,487500,494500,236846,-5.268199233716475,11911.0,351.0,87565.0,-99827.0,0.0,68898.0,22.76000022888184,53819.0,0.2399999946355819
2025-08-26,519000,535000,516000,522000,997381,0.1919385796545105,-12722.0,92.0,-21468.0,34098.0,0.0,36105.0,3.490000009536743,22353.0,0.1000000014901161
2025-08-25,529000,529000,510000,521000,111519,-0.5725190839694656,9383.0,1241.0,13017.0,-23641.0,0.0,3016.0,2.0899999141693115,16555.0,0.0799999982118606
2025-08-22,510000,533000,505000,524000,165163,5.751765893037336,10877.0,36.0,-44381.0,33468.0,0.0,6848.0,3.0299999713897705,10385.0,0.050000000745058
2025-08-21,485000,505500,484500,495500,150540,4.0966386554621845,519.0,344.0,-4285.0,3422.0,0.0,10955.0,5.889999866485596,18043.0,0.0799999982118606
2025-08-20,466500,480500,461000,476000,176134,-1.7543859649122806,-21626.0,358.0,-9986.0,31254.0,0.0,11453.0,5.440000057220459,26065.0,0.1199999973177909
2025-08-19,506000,512000,484000,484500,133342,-4.81335952848723,-18677.0,502.0,5676.0,12499.0,0.0,16850.0,9.989999771118164,22578.0,0.1000000014901161
2025-08-18,504000,519000,503000,509000,102592,0.592885375494071,3314.0,26.0,-21301.0,17961.0,0.0,8368.0,6.380000114440918,13575.0,0.0599999986588954
2025-08-14,501000,511000,499500,506000,112692,0.796812749003984,-6229.0,-121.0,-18468.0,24818.0,0.0,10626.0,7.25,18701.0,0.0900000035762786
2025-08-13,500000,503000,479000,502000,202691,0.6012024048096193,-25407.0,-345.0,-22444.0,48196.0,0.0,9696.0,3.5,19628.0,0.0900000035762786
2025-08-12,508000,511000,496500,499000,161473,-0.7952286282306162,-5245.0,205.0,-20350.0,25390.0,0.0,13475.0,6.380000114440918,20797.0,0.0900000035762786
2025-08-11,498000,510000,496500,503000,167410,-1.949317738791423,-20374.0,-1087.0,-39341.0,60802.0,0.0,2201.0,0.9900000095367432,16552.0,0.0799999982118606
2025-08-08,554000,567000,511000,513000,674003,-14.925373134328357,-206398.0,7636.0,296392.0,-97630.0,0.0,75946.0,8.75,14741.0,0.0700000002980232
2025-08-07,609000,625000,598000,603000,154473,0.0,16582.0,563.0,18865.0,-36010.0,0.0,15939.0,8.210000038146973,15568.0,0.0700000002980232
2025-08-06,612000,613000,590000,603000,125184,-1.7915309446254073,-1540.0,319.0,29632.0,-28411.0,0.0,15331.0,10.220000267028809,18232.0,0.0799999982118606
2025-08-05,608000,622000,605000,614000,70183,2.333333333333333,-4407.0,-1050.0,-5095.0,10552.0,0.0,2981.0,3.130000114440918,9188.0,0.0399999991059303
2025-08-04,594000,604000,583000,600000,76931,1.351351351351351,3204.0,212.0,1627.0,-5043.0,0.0,3004.0,3.259999990463257,10049.0,0.050000000745058
2025-08-01,621000,624000,581000,592000,160271,-5.7324840764331215,-12561.0,769.0,35556.0,-23764.0,0.0,9164.0,4.570000171661377,9738.0,0.0399999991059303
2025-07-31,610000,635000,602000,628000,122902,2.113821138211382,-3650.0,1254.0,-19480.0,21876.0,0.0,11884.0,7.059999942779541,10461.0,0.050000000745058
2025-07-30,617000,625000,597000,615000,99826,-1.1254019292604502,4377.0,1102.0,1108.0,-6587.0,0.0,6123.0,4.659999847412109,11943.0,0.050000000745058
2025-07-29,598000,623000,589000,622000,108816,3.494176372712146,19939.0,-79.0,-35587.0,15727.0,0.0,9752.0,6.320000171661377,10722.0,0.050000000745058
2025-07-28,620000,621000,596000,601000,76153,0.5016722408026756,-1696.0,-1030.0,10842.0,-8116.0,0.0,7698.0,7.570000171661377,10358.0,0.050000000745058
2025-07-25,582000,602000,582000,598000,85485,2.3972602739726026,3221.0,199.0,-16775.0,13355.0,0.0,6316.0,5.449999809265137,10293.0,0.050000000745058
2025-07-24,597000,600000,580000,584000,92233,-1.5177065767284992,-7974.0,522.0,19218.0,-11766.0,0.0,3248.0,2.630000114440918,14790.0,0.0700000002980232
2025-07-23,594000,599000,583000,593000,88717,0.338409475465313,-16004.0,1353.0,-3677.0,18328.0,0.0,7378.0,6.269999980926514,16441.0,0.0700000002980232
2025-07-22,608000,613000,579000,591000,212896,-6.190476190476191,-23239.0,-1741.0,15351.0,9629.0,0.0,14274.0,4.940000057220459,14583.0,0.0700000002980232
2025-07-21,630000,644000,623000,630000,93725,-0.1584786053882725,8304.0,151.0,873.0,-9328.0,0.0,6914.0,5.599999904632568,10469.0,0.050000000745058
2025-07-18,626000,639000,620000,631000,88640,0.4777070063694267,17721.0,135.0,-10210.0,-7646.0,0.0,3220.0,2.7300000190734863,9416.0,0.0399999991059303
2025-07-17,624000,638000,612000,628000,112424,2.782324058919804,11603.0,-393.0,-2211.0,-8999.0,0.0,10763.0,7.210000038146973,8796.0,0.0399999991059303
2025-07-16,603000,629000,594000,611000,120399,0.1639344262295081,13531.0,875.0,-641.0,-13765.0,0.0,3873.0,2.470000028610229,4327.0,0.0199999995529651
2025-07-15,589000,615000,589000,610000,126345,3.5653650254668934,16185.0,981.0,-16488.0,-678.0,0.0,4135.0,2.3499999046325684,4327.0,0.0199999995529651
2025-07-14,576000,599000,575000,589000,124059,3.333333333333333,13427.0,-2678.0,1785.0,-12534.0,0.0,2715.0,1.7000000476837158,2455.0,0.0099999997764825
2025-07-11,594000,602000,566000,570000,166692,-3.5532994923857872,3682.0,-1454.0,-16232.0,14004.0,0.0,11737.0,5.679999828338623,2455.0,0.0099999997764825
2025-07-10,571000,599000,567000,591000,177401,3.866432337434095,45272.0,-456.0,-29132.0,-15684.0,0.0,13679.0,5.900000095367432,2455.0,0.0099999997764825
2025-07-09,554000,575000,549000,569000,261760,8.587786259541986,62183.0,-10119.0,-26958.0,-25106.0,0.0,18426.0,5.059999942779541,2455.0,0.0099999997764825
2025-07-08,505000,525000,502000,524000,112490,4.8,3100.0,866.0,5707.0,-9673.0,0.0,8099.0,5.46999979019165,2455.0,0.0099999997764825
2025-07-07,479000,503000,479000,500000,109586,1.9367991845056065,-14020.0,263.0,-12971.0,26728.0,0.0,9313.0,6.820000171661377,2455.0,0.0099999997764825
2025-07-04,512000,519000,487000,490500,168971,-4.941860465116279,-52899.0,8301.0,-18942.0,63540.0,0.0,9410.0,4.329999923706055,2455.0,0.0099999997764825
2025-07-03,530000,534000,510000,516000,94927,-1.338432122370937,-21127.0,-1019.0,-5508.0,27654.0,0.0,1932.0,1.5099999904632568,2455.0,0.0099999997764825
2025-07-02,533000,542000,506000,523000,145173,-2.7881040892193307,-18983.0,-369.0,-11897.0,31249.0,0.0,9832.0,5.190000057220459,2455.0,0.0099999997764825
2025-07-01,553000,563000,537000,538000,104303,-0.3703703703703704,-7717.0,1123.0,4161.0,2433.0,0.0,2680.0,1.9299999475479128,2455.0,0.0099999997764825
2025-06-30,535000,551000,528000,540000,119318,-0.5524861878453038,-2537.0,-1436.0,-27059.0,31032.0,0.0,3272.0,2.180000066757202,2455.0,0.0099999997764825
2025-06-27,534000,555000,530000,543000,186495,3.6259541984732815,16668.0,1782.0,-26703.0,8253.0,0.0,14177.0,5.409999847412109,2455.0,0.0099999997764825
